awarding_agency_name,award_description
DEPARTMENT OF HOMELAND SECURITY (DHS),"THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN CONTRACTOR-MANAGED, NON-CLINICAL PROFESSIONALS FOR COVID-19 VACCINE ADMINISTRATION IN SUPPORT OF FEDERAL ASSISTANCE TO STATE, LOCAL, TRIBAL, AND TERRITORIAL PARTNERS."
DEPARTMENT OF DEFENSE (DOD),SUPPLIES AND SERVICES IN SUPPORT OF THE WEAPONS AND DEFENSIVE FAMILY OF SYSTEMS
DEPARTMENT OF AGRICULTURE (USDA),BRAZIL SUSTAINABLE LIVELIHOODS RESEARCHER  IGF::OT::IGF  SERVICES FOR FOREST SERVICE IP
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"INTELLIGENT SYSTEMS RESEARCH AND DEVELOPMENT SUPPORT 3 - TASK ORDER 1 (CODE TI IDIQ WORK).  SUPPORTS: TECHNOLOGY RESEARCH AREAS, MISSION OPERATIONS, FLIGHT OPERATIONS, AND SOFTWARE SYSTEMS ENGINEERING AND SOFTWARE PROJECT MANAGEMENT."
DEPARTMENT OF TRANSPORTATION (DOT),ADM CALLAGHAN TURBO ACT 19-04  PCS-ACL19-2002 A
DEPARTMENT OF JUSTICE (DOJ),ICI  - NEPAL - PROVINCIAL ...
DEPARTMENT OF HOMELAND SECURITY (DHS),"HOUSING INSPECTION SERVICES FOR 20,000 INSPECTIONS IN SUPPORT OF HURRICANE SALLY, DR-4564-FL"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),KS-BIO.0443-18; E-156-2017-0-PCT-02; KARLSSON; PATENT LEGAL SERVICE; (MITZELFELT)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE PURPOSE OF THIS TASK ORDER IS THE DEVELOPMENT AND DELIVERY OF A QUALITY ASSURANCE/QUALITY CONTROL (QA/QC) PLAN AND PARTICIPATION IN THE TASK ORDER INITIATION MEETING.
DEPARTMENT OF THE TREASURY (TREAS),NEW TASK ORDER FOR FINCEN INFORMATION TECHNOLOGY (IT) PROGRAM SUPPORT FY21.
DEPARTMENT OF DEFENSE (DOD),EXPLOITATION&PROCESSING OF RADAR/ELINT EMITTING SYSTEMS (EXPRESS)
DEPARTMENT OF STATE (DOS),''IGF::OT::IGF'' HR - LE STAFF MEDICAL PLAN CONTRACT
DEPARTMENT OF DEFENSE (DOD),"NEW TASK ORDER ENTITLED, ""NGA TEST ORGANIZATION INTEROPABILITY TEST SUPPORT""."
DEPARTMENT OF DEFENSE (DOD),"DESCRIPTION: THIS CONTRACT IS TO DEVELOP A TECHNICAL AREA 2 (TA2) FUNCTIONAL COMPILER THAT WILL PROVIDE AN INTEGRATED DYNAMIC COMPOSITION CAPABILITY TO CONSTRUCT ADAPTIVE FORCE PACKAGES, TASK ORGANIZATIONS, AND TACTICS (TTPS) ON THE FLY TO MEET RAPIDLY EVOLVING MISSION NEEDS. THE COMPILER SHALL BE CALLED OPTIMIZED COMPOSITION OF TACTICS AND OPERATIONAL PACKAGES FOR URBAN SCENARIOS (OCTOPUS)."
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF THIS IS THE BASE CONTRACT AWARD FOR PROGRAMMATIC SERVICES IN SUPPORT OF THE CRUISE MISSILE DEFENSE SYSTEM PROJECT OFFICE.
DEPARTMENT OF HOMELAND SECURITY (DHS),"GUTHRIE, OK (WEST ZONE) CONTRACTOR-MANAGED MEDICAL PROFESSIONALS FOR COVID-19 VACCINE ADMINISTRATION IN SUPPORT OF FEDERAL ASSISTANCE TO STATE, LOCAL, TRIBAL, AND TERRITORIAL (SLTT) PARTNERS."
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF THE INTERIOR (DOI),IGF::OT::IGF   BORDERS AND MARITIME SECURITY DIVISION PROFESSIONAL SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0392-15; E-165-2015/0-US-01; UCHIDA; PATENT LEGAL SERVICE; (REYERO)
DEPARTMENT OF DEFENSE (DOD),MECH EQUIP REPAIR SVCS
DEPARTMENT OF JUSTICE (DOJ),MEGA5 AUTOMATED LITIGATION SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF  N62742-17-D-1800, COMPREHENSIVE LONG-TERM ENVIRONMENTAL ACTION NAVY (CLEAN V) FOR NAVAL FACILITIES ENGINEERING COMMAND PACIFIC"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF DJC2 PROGRAM MANAGEMENT AND EARNED VALUED MANAGEMENT SYSTEM SUPPORT
ENVIRONMENTAL PROTECTION AGENCY (EPA),"PHILIS LABORATORY SUPPORT TASK ORDER 1 CASTLE ROCK, CO"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SR-BIO.0166-18; E-018-2010/0-IN-06; MOSS; PATENT LEGAL SERVICE; (HURLEY)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"SUPPORT SERVICES, OPERATIONS COORDINATOR 2 FOR THE COORDINATING CENTER FOR CLINICAL TRIALS, NATIONAL CANCER INSTITUTE"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF
DEPARTMENT OF AGRICULTURE (USDA),WO #113766. FDA DIGITAL AND PRINT COMMUNICATIONS IN SUPPORT OF THE OFFICE OF WOMEN'S HEALTH
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF SUPPORT IN THE EXECUTION OF THE MATERIAL AND ASSET MANAGEMENT PROGRAMS INCLUDING OPERATING MATERIALS&SUPPLIES, PURCHASE REQUISITION, AND ASSET / PLANT PROPERTY&EQUIPMENT."
DEPARTMENT OF JUSTICE (DOJ),ICI - SOMALIA FORENSIC ASSISTANCE PROGRAM
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF  TASK ORDER AWARD UNDER RMADA IDIQ
PENSION BENEFIT GUARANTY CORPORATION (PBGC),RISK MANAGEMENT EARLY WARNING TASK ORDER 1
DEPARTMENT OF HOMELAND SECURITY (DHS),WORK FOR OTHERS (WFO) DARPA PROGRAM
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"AXLE PSTSS TO 251 NIAID PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SUPPORT SERVICES FOR DCR/OD FOR COVID EFFORTS"
DEPARTMENT OF JUSTICE (DOJ),ICI - SOUTH ASIA REGION AVIATION SECUIRTY CAP. DEV
GENERAL SERVICES ADMINISTRATION (GSA),FA1 STRATCOM ENHANCED MISSION ASSURANCE SUPPORT
DEPARTMENT OF DEFENSE (DOD),SDV/SWCS RM&A: AWARD
DEPARTMENT OF HOMELAND SECURITY (DHS),"THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN CONTRACTOR-MANAGED, NON-CLINICAL PROFESSIONALS FOR COVID-19 VACCINE ADMINISTRATION IN SUPPORT OF FEDERAL ASSISTANCE TO STATE, LOCAL, TRIBAL, AND TERRITORIAL PARTNERS."
DEPARTMENT OF ENERGY (DOE),THE PURPOSE OF THIS BPA CALL IS TO PERFORM AN AUDIT FOR BNI COVID PARTIAL STOP WORK ORDER (PSWO) REQUEST FOR EQUITABLE ADJUSTMENT (REA).
DEPARTMENT OF DEFENSE (DOD),ENGINEERING AND REFURBISHMENT SERVICES
NUCLEAR REGULATORY COMMISSION (NRC),OBTAIN TECHNICAL BASIS FOR GUIDANCE ON SURVEYS FOR SUBSURFACE CONTAMINANTS.
DEPARTMENT OF HOMELAND SECURITY (DHS),CISA INTEGRATED OPERATIONS COORDINATION CENTER (CIOCC) AND CISA GATEWAY CONSOLIDATED HELP DESK SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),C4I LCSM SUPPORT 613B
DEPARTMENT OF JUSTICE (DOJ),"IGF::CT::IGF  THIS CONTRACT WILL BE USED TO PROVIDE PROFESSIONAL LITIGATION SUPPORT PRODUCTS AND SERVICES TO THE DEPARTMENT OF JUSTICE AND OTHER FEDERAL AGENCIES ON AN INDEFINITE DELIVERY, INDEFINITE QUANTITY TASK ORDER BASIS. INDIVIDUAL TASK ORDERS ISSUED UNDER THIS CONTRACT MAY SUPPORT ANY IGF::CT::IGF  DEPARTMENT OF JUSTICE ORGANIZATION OR FEDERAL AGENCY ON A LOCAL AND/OR NATIONWIDE BASIS. SERVICES MAY BE REQUIRED ANYWHERE IN OR OUTSIDE OF THE UNITED STATES AND ITS TERRITORIES. THIS CONTRACT WILL ALSO BE USED TO SUPPORT CASE- OR INVESTIGATION-RELATED ADMINISTRATIVE FUNCTIONS"
SECURITIES AND EXCHANGE COMMISSION (SEC),IGF::OT::IGF FOR OTHER FUNCTIONS PROGRAM SUPPORT
DEPARTMENT OF THE TREASURY (TREAS),EXPERT ADVISORY SERVICES TO THE IMPLEMENTATION OF THE AIR CARRIER PAYROLL SUPPORT PROGRAM IN COMPLIANCE WITH THE CARES ACT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"NATIONAL EDUCATION CAMPAIGN&OUTREACH CONTRACT (NEC) INDEFINITE DELIVERY, INDEFINITE QUANTITY CONTRACT (IDIQ)"
DEPARTMENT OF JUSTICE (DOJ),MEGA5 LITIGATION SUPPORT SERVICES
GENERAL SERVICES ADMINISTRATION (GSA),ORDER FOR JOINT PRODUCT TEAM FOR THE INTEGRATED AWARD ENVIRONMENT
DEPARTMENT OF EDUCATION (ED),U.S. PARTICIPATION IN THE TRENDS IN INTERNATIONAL MATHEMATICS AND SCIENCE STUDY (TIMSS) 2023 TO ADMINISTER ASSESSMENTS IN MATH AND SCIENCE DATA COLLECTION.
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),USPSC SENIOR PUBLIC HEALTH ADVISOR-STRATEGIC INFORMATION FOR THE HPN TEAM.
DEPARTMENT OF TRANSPORTATION (DOT),ISLAND  DOCKTRIALS  ODI-ISL21-1001 A
DEPARTMENT OF DEFENSE (DOD),KESSEL RUN ENTERPRISE SERVICES AGILE SOFTWARE ENGINEERING I
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),WOMEN'S HEALTH INITIATIVE (WHI) - REGIONAL CENTER (RC) - TASK AREA A
DEPARTMENT OF TRANSPORTATION (DOT),IGF::OT::IGF    OTHER FUNCTIONS
DEPARTMENT OF DEFENSE (DOD),LABOR TO SUPPORT MOBILE DEPLOYABLE C5ISR
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),PRO OFFICE: MONITORING EVALUATION&LEARNING (MEL) SUPPORT TO USAID/INDONESIA MISSION
DEPARTMENT OF COMMERCE (DOC),CGI-SOO FOR TMNG (D219) - CONTRACTOR SUPPORT POP/FPOP: 03/19/2015-10/30/2015 IGF::OT::IGF
DEPARTMENT OF AGRICULTURE (USDA),PHILIPPINES FOREST MAPPING EXPERT  IGF::OT::IGF  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),VERTICAL LAUNCH SYSTEM (VLS) REPAIR
DEPARTMENT OF EDUCATION (ED),"OTHER FUNCTION IGF::OT::IGF PUBLICATIONS, EDUCATION ANALYSIS, AND REPORTING FOR SAMPLE SURVEYS FOR THE NATIONAL CENTER FOR EDUCATION STATISTICS POSTSECONDARY LONGITUDINAL STUDIES PROGRAM."
DEPARTMENT OF DEFENSE (DOD),SOFTWARE ENGINEERING FOR AIRFRAME DIGITAL TWIN
DEPARTMENT OF COMMERCE (DOC),MARINE DEBRIS MONITORING
DEPARTMENT OF STATE (DOS),IGF::CL::IGF SUPPORT- PROFESSIONAL: DEFENSE TRADE POLICY REVIEW/DEVELOPMENT
DEPARTMENT OF COMMERCE (DOC),"NOAA FISHERIES/NEFSC, FACILITY MAINTENANCE SUPPORT SERVICES"
DEPARTMENT OF THE INTERIOR (DOI),EASTERN STATES SURFACE MANAGEMENT AGENCY PARCEL DEVELOPMENT
DEPARTMENT OF DEFENSE (DOD),AMDR BASIC CONTRACT AWARD FOR EMD AND EXERCISE OF ENHANCED DATA RIGHTS CLIN
DEPARTMENT OF ENERGY (DOE),"INDEPENDENT PROJECT REVIEW AND ASSESSMENT SUPPORT FOR THE DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION'S (DOE/NNSA) OFFICE OF ENTERPRISE PROJECT MANAGEMENT (NA-APM-20)."
ENVIRONMENTAL PROTECTION AGENCY (EPA),DES CONTRACT -NEW TASK ORDER(S) - OLIN OPERABLE UNIT 1 (04B6) SUPERFUND SITE -- RD/RA TECHNICAL SUPPORT
DEPARTMENT OF DEFENSE (DOD),"RESEARCH, ANALYSIS, DEVELOPMENT, AND PLANNING OF FORCE PROJECTION TECHNOLOGIES AND LABORATORIESC UNITED STATES (US) ARMY COMBAT CAPABILITIES DEVELOPMENT COMMAND (CCDEVCOM), GROUND VEHICLE SYSTEMS CENTER (GVSC)"
DEPARTMENT OF ENERGY (DOE),"IGF::OT::IGF THIS TIME-AND MATERIALS ORDER IS SUBJECT TO THE TERMS AND CONDITIONS THE GENERAL SERVICES ADMINISTRATION (GSA) PROFESSIONAL SERVICES SCHEDULE (PSS) CONTRACT GS-00F-269CA WITH BCS, INCORPORATED.  THE CONTRACTOR SHALL PROVIDE TECHNICAL, ANALYTICAL, MANAGEMENT, ADMINISTRATIVE AND COMMUNICATIONS SUPPORT FOR THE U.S. DEPARTMENT OF ENERGY, OFFICE OF ELECTRICITY DELIVERY AND ENERGY RELIABILITY."
DEPARTMENT OF DEFENSE (DOD),ACTIVE SOCIAL ENGINEERING DEFENSE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0360-17; E-243-2012/0-ES-10; VENDITTI; PATENT LEGAL SERVICE (CAMPBELL)
ENVIRONMENTAL PROTECTION AGENCY (EPA),NEW TASK ORDER RADIATION RESPONSE SUPPORT ACTIVITY ON THE START 5 CONTRACT #68HE0919D0002. INTERNAL TO #D0002-0036 SSID:  09ZZ
GENERAL SERVICES ADMINISTRATION (GSA),IDENTITY AND ACCESS MANAGEMENT PATIENT IDENTITY AND PERSONNEL SECURITY PROGRAM MANAGEMENT SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0233-15; E-105-2012/0-EP-06; PARKHURST; PATENT LEGAL SERVICE; (HASTINGS)
DEPARTMENT OF LABOR (DOL),IGF::OT::IGF   NEW TASK UNDER COFFEY'S BPA (DOLQ121A21895) STUDENT CAREER PATHWAYS.
DEPARTMENT OF DEFENSE (DOD),"IGF::CL,CT::IGF NEXT GENERATION TECHNICAL SERVICES (NGTS) IV PERFORMANCE LOCATIONS: WRIGHT PATTERSON AFB OH 45433; ABERDEEN PROVING GROUND MD 21005; STENNIS SPACE CENTER MS 39522; VICKSBURG, MS 39181; LORTON, VA 22079; BETHESDA, MD 20817"
DEPARTMENT OF DEFENSE (DOD),IGF: :OT: :IGF SUBCONTRACTOR TIME&MATERIALS
DEPARTMENT OF DEFENSE (DOD),MISSION-BASED NETWORKING FOR DDS [MIND]IGF::OT::IGF
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::OT::IGF  THIS TASK ORDER IS FOR TEAM II - 27 TECHNICAL SPECIALIST TO SUPPORT THE PA-TAC EFFORTS FOR REGION IIIS CONSOLIDATED RESOURCE CENTER, WINCHESTER, VA."
DEPARTMENT OF EDUCATION (ED),THE PURPOSE OF THIS TASK ORDER IS TO EXECUTE THE IMPLEMENTATION OF STATEWIDE FAMILY ENGAGEMENT CENTER PROGRAM.
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  SACM/MSDM - MULTI-MISSION WEAPON SYSTEM
DEPARTMENT OF TRANSPORTATION (DOT),ANTARES FY21 FUEL A TSI-ANT21-1009A
ENVIRONMENTAL PROTECTION AGENCY (EPA),"THE PURPOSE OF THIS ACTION IS TO INITIATE TASK ORDER 68HERH21F0134, WITH A PERIOD OF PERFORMANCE FROM 04/08/2021 THROUGH 03/09/2022 AT A CEILING OF $299,921.00.  THE CONTRACTOR'S REVISED TECHNICAL AND PRICE PROPOSAL DATED  03/15/2021 IS HEREBY"
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF ND-1
DEPARTMENT OF COMMERCE (DOC),"NOAA FISHERIES/NEFSC,POPULATION&ECOSYSTEMS MONITORING AND ANALYSIS DIVISION (PEMAD), ECOSYSTEMS SURVEYS BRANCH (ESB)&POPULATION BIOLOGY BRANCH (PBB) TECHNICAL SUPPORT SERVICES"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"IGF::OT::IGF SUPPORT SERVICES FOR STUDIES OF INFECTION, IMMUNITY, AND CANCER"
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF INERTIAL MEASUREMENT UNIT; THIS EFFORT SUPPORTS THE COMMON KILL VEHICLE INERTIAL MEASUREMENT UNIT (CKVIMU) TECHNOLOGY DEVELOPMENT AND RELIABILITY EFFORT; THE DEVELOPMENT OF A CKVIMU THAT IS COMPLIANT TO MDA STANDARDS. THE GOAL IS TO COMPLETE TESTING OF THE PROTOTYPE IMU, AND IMPLEMENT REDUCTIONS IN SIZE, WEIGHT, AND POWER, DEVELOP COMMON IMU REQUIREMENTS AND COMPONENTS THAT ARE FLEXIBLE AND SCALABLE TO MEET VARIOUS SYSTEM SPECIFICATIONS THAT SUPPORT BOTH NEAR AND FAR TERM TECHNOLOGY INSERTION OPPORTUNITIES."
DEPARTMENT OF DEFENSE (DOD),"THIS EFFORT ACQUIRES CONTRACTOR SUPPORT SERVICES TO ASSIST PMW 120 WITH PROGRAM MANAGEMENT, ACQUISITION MANAGEMENT, CONTRACT MANAGEMENT, BUSINESS MANAGEMENT, AND INSTALLATION MANAGEMENT ACTIVITIES FOR PMW 120 PROGRAMS AND PROJECTS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF SR-BIO.0135-17; E-230-2011/1-AU-02; BOTTARO; PATENT LEGAL SERVICE (RUCKER)
DEPARTMENT OF DEFENSE (DOD),DEFENSE AGENCY AUDIT READINESS AND AUDIT/EXAM REMEDIATION SUPPORT
DEPARTMENT OF JUSTICE (DOJ),FY21 OVW PRE APPLICATION WEBINARS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PATENT LEGAL SERVICES
DEPARTMENT OF DEFENSE (DOD),"THE CONTRACTOR SHALL PROVIDE ALL LABOR, MANAGEMENT, SUPERVISION, SUPPLIES, MATERIALS, EQUIPMENT, TRAINING, AND TOOLS, NOT OTHERWISE PROVIDED AS GOVERNMENT FURNISHED PROPERTY (GFP), TO PERFORM THE NON-PERSONAL SERVICES REQUIRED TO SUPPORT THE OPERATIONAL TEST, DATA COLLECTION, AND EXPERIMENTATION MISSION OF THE U. S. ARMY OPERATIONAL TEST COMMAND (USAOTC)."
DEPARTMENT OF DEFENSE (DOD),BRIDGE - OPTION 1 - SEVENTH YEAR EFFORT FY21 ACCCIT SUPPORT
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF ANTIGENICALLY DEFINED VACCINES FOR IMMUNIZATION AGAINST MELIOIDOSIS AND GLANDERS
DEPARTMENT OF JUSTICE (DOJ),USAO VAW_PARALEGAL II CR (2)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF IMPLEMENTATION AND ASSESSMENT OF COMPETENCIES FOR TEACHERS/CAREGIVERS SERVING INFANTS AND TODDLERS
ENVIRONMENTAL PROTECTION AGENCY (EPA),TASK ORDER FOR CONTRACT 68HERC20D0018 ENTITLED CHARACTERIZATION OF COMPOUNDS IN THE TROPOSPHERE UTILIZING SUN PHOTOMETERS AND ASSOCIATED INSTRUMENTATION TO SUPPORT AND VALIDATE SATELLITE REMOTE SENSING MEASUREMENTS AND ADVANCE REGULATORY MONITORING M
DEPARTMENT OF DEFENSE (DOD),ENGINEERING AND TECHNICAL SUPPORT FOR SMALL ARMS WEAPONS SYSTEMS DIVISION.
DEPARTMENT OF STATE (DOS),"THE CONTRACT STAND UP DATE: JANUARY 1, 2018 AND THE PURPOSE OF THE SERVICES PROCURED UNDER SOLICITATION SAQMMA17C0285 IS TO PREVENT UNAUTHORIZED ACCESS, PROTECT LIFE, MAINTAIN ORDER, DETER CRIMINAL ATTACKS AGAINST EMBASSY EMPLOYEES, DEPENDENTS AND PROPERTY, DETER TERRORIST ACTS AGAINST U.S. ASSETS AND, PREVENT DAMAGE TO GOVERNMENT PROPERTY. US MISSION TEGUCIGALPA, HONDURAS.IGF::OT::IGF"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF ENERGY (DOE),ORDER FOR THE DOE EERE CIO BUSINESS OPERATIONS SUPPORT SERVICES (CBOSS) FOR THE INFORMATION TECHNOLOGY SUPPORT OFFICE (ITSO) CYBER SECURITY PROGRAM SUPPORT.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"NON-CLINICAL SAFETY ASSESSMENT OF DRINABANT, A CANNABINOID RECEPTOR (CB-1) ANTAGONIST, FOR ACUTE CANNABINOID OVERDOSE (ACO). POP: 09/25/2020 TO 03/24/2021."
DEPARTMENT OF AGRICULTURE (USDA),CAMBODIA LAW ENFORCEMENT CURRICULUM DEVELOPMENT CONSULTANTS  SERVICES FOR FOREST SERVICE IP
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-MES.0034-17; E-226-2010/0-US-04; BASSER; PATENT LEGAL SERVICE (VATHYAM)
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),SAP PURCHASE REQUISITION: 4200370084
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"IGF::CL::IGF UNITED STATES PERSONAL SERVICES CONTRACT IN SUPPORT OF THE OFFICE OF TRANSITION INITIATIVES, PROGRAM LEARNING&INNOVATION DIVISION AND ITS OBJECTIVES."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PRIZE AND OUTREACH SUPPORT FOR INNOVATION ACCELERATORS
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LONGITUDINAL STUDY OF COVID-19 ANTIBODY RESPONSE IN CHILDREN IN SEATTLE WA
DEPARTMENT OF DEFENSE (DOD),
DEPARTMENT OF DEFENSE (DOD),LEARNING ASSET DEVELOPMENT IGF::OT::IGF
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IT PROFESSIONAL SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),BLANKET PURCHASE AGREEMENT FOR LABORATORY SUPPORT TECHNICIANS AT ORA LABORATORIES
DEPARTMENT OF DEFENSE (DOD),FY 21 JWMRP
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),STAKEHOLDER TRAINING AND PROGRAM SUPPORT
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES FOR ELECTRICAL SYSTEM UPGRADES TO USCG POLAR STAR
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF AIR DOMINANCE ADAPTIVE PROPULSION TECHNOLOGY
DEPARTMENT OF TRANSPORTATION (DOT),CAPE EDMONT FY21 REPAIRS A KEY-EDM21-1005A
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),PROVIDE PROFESSIONAL ARCHITECTURE AND ENGINEERING TECHNICAL SERVICES TO ASSIST USAID HAITI TO DESIGN AND MANAGE THE MULTI-SECTORIAL INFRASTRUCTURE PORTFOLIO.  THE MISSION IS CURRENTLY MANAGING THIS PORTFOLIO UTILIZING THE SERVICES OF MULTIPLE A&E FIRMS.
DEPARTMENT OF LABOR (DOL),"IGF::CT::IGF EFFICIENT AND STANDARDIZED TRAVEL PROCESS THAT IS IN COMPLIANCE WITH THE FEDERAL TRAVEL REGULATION (FTR) AND OTHER APPLICABLE TRAVEL REGULATIONS TO SUPPORT DOL'S APPROXIMATELY 17,000 STAFF, OF WHICH APPROXIMATELY 8,500 TRAVEL IN LARGE DISPERSED GEOGRAPHIC AREAS."
DEPARTMENT OF DEFENSE (DOD),"IGF::CT::IGF  NAVAL SURFACE WARFARE CENTER (NSWC) CRANE, RADAR TECHNOLOGIES DIVISION (CODE GXR) REQUIRES TECHNICAL, PROGRAMMATIC, CONFIGURATION, AND PROCESS SUPPORT FOR EFFORTS ASSOCIATED WITHIN THE DIVISION'S WORKLOAD."
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),THE PURPOSE OF THE A2C IS TO REDUCE ENERGY CONSUMPTION IN ZAMBIA AND CATALYZE AN INCREASE IN PRIVATE SECTOR LEAD LOW EMISSIONS CHARCOAL ALTERNATIVE TECHNOLOGIES AND/OR FUELS IN ORDER TO REDUCE DEFORESTATION DIRECTLY ATTRIBUTABLE TO CHARCOAL.
DEPARTMENT OF DEFENSE (DOD),ENGINEERING&TECHNICAL SERVICES
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CL,CT::IGF ARMED PROTECTIVE SECURITY OFFICER SERVICES THROUGHOUT ALABAMA"
DEPARTMENT OF DEFENSE (DOD),USS THE SULLIVANS (DDG 68) STBD RUDDER
DEPARTMENT OF THE INTERIOR (DOI),2020-2021 LAND RECORDS MAINTENANCE AND UPDATES
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),IGF::OT::IGF:ADJUSTMENT OF TUSOME FUND CITE IN GLAAS TO UNILATERAL FY 2013 FUNDS.
DEPARTMENT OF DEFENSE (DOD),IGF::CL::IGF TECHNICAL AND INTEGRATION SERVICES
SMALL BUSINESS ADMINISTRATION (SBA),ORACLE FEDERAL FINANCIALS SUPPORT
DEPARTMENT OF TRANSPORTATION (DOT),DAFIS UDO RECONSTRUCT W/O ADVANCE
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF COMMERCE (DOC),"IGF::OT::IGF  NOAA FISHERIES, OFFICE OF PROTECTED RESOURCES (OPR), ENVIRONMENTAL CONSULTING SERVICES"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),BAA PMWP#105 METHODOLOGICAL ADVANCES IN THE ASSESSMENT OF UNCONTROLLED CONFOUNDING
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),COMBAT SYSTEMS MAINTENANCE SUPPORT FOR LHA/LHD/LSD/LPD CLASS SHIPS
DEPARTMENT OF HOMELAND SECURITY (DHS),"IGF::CL,CT::IGF  REQUIREMENT FOR DHS CHEMICAL AND BIOLOGICAL DEFENSE DIVISION PROGRAM MANAGEMENT ICLN TECHNICAL SUPPORT SERVICES."
DEPARTMENT OF DEFENSE (DOD),(FY21 PSNSY OMN) CVN 72 STAVE BEARING
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),FAIR LENDING EVALUATION AND MONITORING OF FANNIE MAE AND FREDDIE MAC IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),CAPE LAUNCH OPERATIONS AND INFRASTRUCTURE SUPPORT ARMY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND COST PLUS FIXED FEE
DEPARTMENT OF ENERGY (DOE),"DEPARTMENT OF ENERGY (DOE), GOLDEN FIELD OFFICE (GFO), FINANCIAL AUDIT SUPPORT SERVICES FOR ALLIANCE, LLC."
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF LABOR AND MATERIALS
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
